id,name,description,typeOf,valueType,propertyOf,relationValueType,choices,tableName,columnLabel,geo_id
34,Filing circuit,Circuit in which the case was filed.,Property,RELATION,Docket,Court,,recap_fjcintegrateddatabase,circuit_id,
35,Filing district,District court in which the case was filed.,Property,RELATION,Docket,Court,,recap_fjcintegrateddatabase,district_id,
36,Transferred from,The docket number of the case in the losing district.,Property,RELATION,Docket,Docket,,recap_fjcintegrateddatabase,transfer_docket_number,
37,Arguments,Arguments made during this case,Property,RELATION,Docket,Argument,,audio_audio,,
38,Opinions,Opinions resulting from this case,Property,RELATION,Docket,Opinion,,search_opinion,,
39,Originating docket,Lower court docket information associated with appellate cases.,Property,RELATION,Docket,Docket,,search_docket,originating_court_information_id,
40,Date notice of appeal filed,The date the notice of appeal was filed for the case.,Property,TIME,Docket,,,search_originatingcourtinformation,date_filed_noa,
41,Date received by court of appeals,The date the case was received at the court of appeals.,Property,TIME,Docket,,,search_originatingcourtinformation,date_received_coa,
42,Date disposed,The date the case was disposed,Property,TIME,Docket,,,search_originatingcourtinformation,date_disposed,
43,Date judgement,The date of the order or judgment.,Property,TIME,Docket,,,search_originatingcourtinformation,date_judgment,
44,Ordering judge,The judge that issued the final order in the case.,Property,RELATION,Docket,Person,,search_originatingcourtinformation,ordering_judge_id,
