key,value,description,geo_id
555,Prisoner - prison condition (555),"Cases concerning inadequate prison conditions, medical care, or treatment of inmates.",
560,Civil detainee (560),"Legal actions involving individuals held under civil detention, such as mental health commitments or immigration holds.",
610,Agricultural acts (610),"Cases involving disputes over federal agricultural laws, farming regulations, and subsidies.",
620,Food and drug acts (620),"Legal actions related to food safety, drug regulations, and FDA enforcement.",
625,Drug related seizure of property (625),Government actions to confiscate assets tied to drug crimes.,
630,Liquor laws (630),"Cases involving alcohol regulation, licensing, and distribution.",
640,Railroad and trucks (640),"Legal disputes concerning transportation regulations, freight operations, and trucking industry compliance.",
650,Airline regulations (650),"Cases involving aviation laws, airline safety, and passenger rights.",
660,Occupational safety/health (660),"Disputes related to workplace safety regulations, often involving OSHA.",
690,Other forfeiture and penalty suits (690),Legal actions seeking to seize assets or impose penalties for legal violations.,
710,Fair Labor Standards Act (710),"Lawsuits involving wage, overtime, and employment classification disputes under the FLSA.",
720,Labor/Management Relations Act (720),"Cases related to union-employer relations, including collective bargaining disputes.",
730,Labor/Management report & disclosure (730),Legal actions involving financial and operational reporting requirements for labor organizations.,
740,Railway Labor Act (740),Disputes between railroad and airline employees and management under the Railway Labor Act.,
751,Family and Medical Leave Act (751),Lawsuits regarding violations of employee rights under the FMLA.,
790,Other labor litigation (790),Employment disputes not covered by specific labor laws.,
791,Employee Retirement Income Security Act (791),Cases concerning pension and employee benefit plans under ERISA.,
810,Selective service (810),Legal issues related to military draft registration and requirements.,
820,Copyright (820),"Lawsuits involving copyright infringement, ownership, and intellectual property rights.",
830,Patent (830),"Cases concerning patent rights, infringement, and validity disputes.",
835,Patent Abbreviated New Drug Application (ANDA) (835),Patent disputes related to generic drug approvals.,
840,Trademark (840),"Legal actions over trademark rights, brand identity, and unfair competition.",
850,"Securities, Commodities, Exchange (850)","Cases involving stock market fraud, insider trading, and financial regulations.",
860,Social security (860),Lawsuits related to disputes over Social Security benefits.,
861,HIA (1395 FF) / Medicare (861),Cases involving Medicare disputes and eligibility claims.,
862,Black lung (862),Claims under the Black Lung Benefits Act for coal miners suffering from black lung disease.,
863, D.I.W.C. / D.I.W.W. (863),Social Security Disability claims for disabled workers and widows.,
864,S.S.I.D. (864),Cases concerning Supplemental Security Income (SSI) disability benefits.,
865,R.S.I. (865),Lawsuits related to retirement and survivor benefits under Social Security.,
870,Tax suits (870),"Disputes involving tax assessments, refunds, and IRS regulations.",
871,IRS 3rd party suits 26 USC 7609 (871),Cases involving third-party summonses issued by the IRS.,
875,Customer challenge 12 USC 3410 (875),Legal actions where individuals challenge government access to their financial records.,
890,Other statutory actions (890),Lawsuits arising from federal statutes not otherwise classified.,
891,Agricultural acts (891),"Disputes related to federal agricultural programs, subsidies, and regulations.",
892,Economic Stabilization Act (892),Cases involving economic policies and government intervention in financial markets.,
893,Environmental matters (893),"Lawsuits concerning environmental laws, pollution, and regulatory enforcement.",
894,Energy Allocation Act (894),"Legal disputes over energy policies, pricing, and resource distribution.",
895,Freedom of Information Act of 1974 (895),Cases seeking government records under FOIA.,
896,Arbitration (896),Legal actions related to arbitration agreements and enforcement of arbitration awards.,
899,Administrative procedure act / review or appeal of agency decision (899),Cases challenging federal agency actions under the APA.,
900,Appeal of fee - equal access to justice (900),Lawsuits concerning attorney fees under the Equal Access to Justice Act.,
910,Domestic relations (910),"Cases involving family law matters such as divorce, child custody, and support.",
920,Insanity (920),Legal proceedings concerning mental competency or criminal insanity defenses.,
930,Probate (930),"Disputes related to wills, estates, and trusts.",
940,Substitute trustee (940),Cases involving the appointment or actions of substitute trustees in property matters.,
950,Constitutionality of state statutes (950),Challenges to state laws on constitutional grounds.,
990,Other nature of suit (990),Legal matters that do not fit within any other classification.,
992,Local jurisdictional appeal (992),Appeals concerning decisions from local courts or agencies.,
999,Miscellaneous (999),Cases that do not fall under any defined category.,
